   ,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
79,Tre Mann,CHA,11,24.7,14.5,5.5,12.2,45.5,1.8,4.6,39.2,1.5,1.5,100,0.9,2.1,3,3,0.6,0.3,1.8,12.9
80,Klay Thompson,DAL,13,29.4,14.3,5.2,12.5,41.7,3.2,8.5,37.3,0.7,0.7,100,0.5,2.9,3.4,1.9,0.5,0.2,1.1,11.9
81,Malik Beasley,DET,14,28.6,14.3,5,12.6,39.5,3.3,8.6,38.3,1,1.5,66.7,0.6,2.3,2.9,1.6,0.6,0.1,1.4,10
82,Jonathan Kuminga,GSW,12,23.8,14.2,5.2,11.3,45.9,1.1,3.4,31.7,2.8,4.3,63.5,1.3,3,4.3,1.8,0.8,0.4,1.6,12.3
83,Jarrett Allen,CLE,14,30.1,14.1,5.7,8.8,65,0,0,0,2.6,3.6,72.5,1.9,8.8,10.6,1.8,1,1.3,1.1,23.6
84,Kelly Oubre Jr.,PHI,12,31.1,13.8,5.3,12.8,40.9,1.3,4.7,26.8,2.1,2.8,75.8,1.4,3.3,4.7,1.2,0.8,0.3,1.3,11.3
85,Fred VanVleet,HOU,12,35.3,13.8,5,13.2,38,2.2,7.2,30.2,1.6,2.2,73.1,0.8,3.5,4.3,6.1,1.8,0.4,1.2,16.3
86,Bobby Portis,MIL,12,24.4,13.6,5.9,12.6,47,0.8,3.3,25.6,0.9,1.3,68.8,2.2,5.9,8.1,0.9,0.4,0.5,1.3,15.2
87,Tobias Harris,DET,14,33.8,13.4,5.4,12.2,44.4,1.2,4.2,28.8,1.4,1.7,79.2,1,6.8,7.8,2.7,0.8,1.2,1.5,17.3
88,Deandre Ayton,POR,11,29.3,13.3,6.2,11.9,51.9,0.5,1.2,38.5,0.5,0.7,62.5,3,7.5,10.5,1,0.9,0.5,1.5,18.7
88,Terry Rozier,MIA,11,32.2,13.3,4.5,11.8,38.5,2.2,6.1,35.8,2,2.3,88,0.4,3.8,4.2,3.9,0.9,0.5,2,13.2
90,Keegan Murray,SAC,14,37.6,13.2,5.1,11.6,43.6,1.8,6,29.8,1.3,1.5,85.7,2.4,5.7,8.1,1.7,0.4,0.6,0.8,16.5
91,Josh Hart,NYK,12,36.8,13.2,4.9,8.6,57.3,1,3.3,30.8,2.3,2.7,87.5,1.8,7.3,9.2,5.9,1.1,0.3,2.1,23.5
92,Ochai Agbaji,TOR,14,32.4,13.1,5.1,9.9,52.2,1.9,4.4,44.3,0.9,1.3,72.2,1.1,3.8,4.9,1.9,1.3,0.6,1.1,15.7
93,Daniel Gafford,DAL,13,20.7,12.8,5.5,7.5,73.2,0,0,0,1.8,2.6,70.6,2.6,3.5,6.1,1.2,0.5,1.3,0.7,18.3
93,Jrue Holiday,BOS,13,30.8,12.8,4.7,9.7,48.4,1.8,5.1,36.4,1.5,1.8,87,0.8,3.1,3.9,4,0.5,0.2,1.6,14.6
95,Rui Hachimura,LAL,10,33.9,12.7,4.5,10.7,42.1,1.8,3.6,50,1.9,2.3,82.6,2.2,3.9,6.1,1.5,0.7,0.5,0.7,14.2
96,Moritz Wagner,ORL,14,18.6,12.6,4.3,7.9,54.5,0.9,2.7,34.2,3.1,3.9,80,0.8,3.6,4.4,0.9,0.7,0.2,1.9,12.6
97,Malik Monk,SAC,10,25,12.6,4.6,10.4,44.2,1.2,4.3,27.9,2.2,2.6,84.6,0,3,3,2.8,0.9,0.4,0.8,12.7
98,Josh Giddey,CHI,13,27.8,12.5,4.5,10.8,41.8,1.4,3.5,40,2.1,3.2,65.9,1.3,4.7,6,6.5,0.8,0.2,2.5,16.2
98,Tari Eason,HOU,13,22.8,12.5,5.2,9.5,55.3,1.1,2.8,37.8,1,1.5,65,2.2,3.5,5.6,1.2,1.8,1.2,1,16.6
100,Tim Hardaway Jr.,DET,12,28.4,12.5,3.9,8.4,46.5,2.7,5.8,45.7,2,2.3,88.9,0.1,1.6,1.7,2,0.4,0,0.7,11.2
101,Caris LeVert,CLE,12,23.8,12.4,4.5,8.2,55.1,1.8,3.8,48.9,1.6,2.2,73.1,0.6,2.3,2.8,4.7,1.1,0.6,1,16.3
102,Dillon Brooks,HOU,13,31.9,12.4,4.5,10.8,41.1,2.2,5.4,40,1.3,1.5,89.5,1.2,2.3,3.5,1.1,0.6,0.2,0.7,10.5
103,Santi Aldama,MEM,13,29,12.3,5,10.9,45.8,1.2,4.8,25.4,1.1,1.2,93.3,1.6,5.6,7.2,3.5,0.8,0.5,1.3,17.2
104,Brandon Boston Jr.,NOP,11,29.1,12.3,4.5,10.3,44.2,1.4,3.8,35.7,1.8,2,90.9,1,3.5,4.5,4,1.4,0.3,1.5,15
105,Jonas Valančiūnas,WAS,11,20.4,12.1,4.8,8.5,57,0.1,0.4,25,2.4,2.5,92.9,2.5,5.1,7.5,2.3,0.5,0.6,1.7,17.5
106,D'Angelo Russell,LAL,13,28,12.1,4.3,10.6,40.6,1.8,5.6,32.9,1.6,1.8,91.3,0.3,1.8,2.1,4.8,1,0.1,1.6,12
107,Scoot Henderson,POR,13,25.5,11.9,4.4,10.5,41.9,0.9,2.9,31.6,2.2,2.8,80.6,0.6,2.5,3.1,4.6,1.1,0,3.1,11
