Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Ochai Agbaji,4,23.2,6,2.5,7,35.7,0.3,1.8,14.3,0.8,1.3,60,1.5,3.3,4.8,1.5,1.5,1,0,2.3,-1
Tre Mitchell,3,18,6,2,3.3,60,1.3,2.3,57.1,0.7,2.3,28.6,1.3,2.3,3.7,0.7,1,0,1,1.3,0
Vincent Valerio-Bodon,2,15.8,6,1.5,4,37.5,1.5,2.5,60,1.5,2,75,1.5,3.5,5,2.5,1.5,0.5,0.5,0,5
Zach Edey,1,8.6,6,3,3,100,0,0,0,0,0,0,1,2,3,0,0,0,1,1,-3
Adem Bona,5,21,5.8,2.4,3.4,70.6,0,0,0,1,1.2,83.3,1.4,3.6,5,0.8,2.6,1,2.4,5.2,-3
DJ Burns,4,11.9,5.8,2.5,4.5,55.6,0,0,0,0.8,1,75,0.5,1.8,2.3,1,0.8,0.8,0.5,3,2
Ryan Dunn,4,25.4,5.8,2.8,8,34.4,0.3,3.3,7.7,0,0.3,0,1.3,2.5,3.8,1.8,1.5,1.3,1.5,2.3,-4
Aaron Estrada,5,13.4,5.6,2.2,5.4,40.7,0.8,2.6,30.8,0.4,0.4,100,0.2,1.6,1.8,2.2,1.6,0.2,0,1,2
Donta Scott,5,17.1,5.6,2.2,6.2,35.5,0.4,3,13.3,0.8,1.2,66.7,1.6,2,3.6,0.6,0.8,0.2,0.4,0.8,4
Isaiah Whaley,5,13,5.6,2.2,3.6,61.1,0.4,1,40,0.8,1,80,1.4,3.2,4.6,1,0.2,0.6,0.8,1.8,3
Jesse Edwards,5,17.6,5.6,2,4.6,43.5,0,0,0,1.6,3.2,50,2,2.4,4.4,1,1,0.2,1,3.8,-2
Alexandre Sarr,4,29.6,5.5,2.3,11.8,19.1,0.5,4.3,11.8,0.5,1,50,3.5,4.3,7.8,3.3,2.3,0.8,2.5,4.3,-3
Justin Lewis,4,11.8,5.5,1.5,2.8,54.5,0.8,1.3,60,1.8,1.8,100,0.3,3.3,3.5,0,0,0,0,0.5,4
Kaiser Gates,2,14.9,5.5,1.5,5,30,1.5,5,30,1,1,100,0,1.5,1.5,1.5,0.5,2,0,0.5,2
Luke Avdalovic,2,9.5,5.5,2,4,50,1.5,3.5,42.9,0,0,0,0,1.5,1.5,0.5,1.5,0,0,0.5,-1
Moses Wood,4,22.4,5.5,2,7.3,27.6,1.5,5.3,28.6,0,0,0,0.5,2.5,3,1.3,2,0.3,0.5,2.8,-5
Patrick Baldwin Jr.,2,18.7,5.5,1.5,5.5,27.3,0.5,4,12.5,2,2,100,0,2,2,3,2.5,0.5,0.5,3,-2
Tevian Jones,2,12.2,5.5,2,5,40,1.5,4,37.5,0,0,0,0.5,0,0.5,1,0,0,0.5,1.5,-7
Wendell Moore Jr.,2,23,5.5,2,8,25,0.5,3,16.7,1,1,100,0.5,2.5,3,1.5,1,1,0,1,2
Caleb Daniels,5,18,5.4,1.6,4.6,34.8,0.6,2.4,25,1.6,2,80,0.4,3.2,3.6,2.2,0.2,1.2,0.2,1,4
Tyson Walker,5,14.8,5.4,2,6.2,32.3,1,3.4,29.4,0.4,0.8,50,0.6,1,1.6,2.6,0.6,1.8,0.2,2.2,7
Yauhen Massalski,5,18.3,5.4,2.6,6.4,40.6,0,0.4,0,0.2,0.4,50,4.2,6.8,11,2.2,1.2,1,0.6,1.6,4
Zyon Pullin,6,11.9,5.3,1.8,2.8,64.7,0.3,0.3,100,1.3,2.2,61.5,0.2,0.8,1,1.7,1.2,0.2,0.2,0.7,1
Dexter Dennis,5,16.2,5.2,2,5.2,38.5,0.4,3,13.3,0.8,1.2,66.7,0.4,3.2,3.6,1.4,1.4,0.6,0.6,1,1
James Banks III,5,14.3,5.2,2.4,5.4,44.4,0,0.2,0,0.4,0.6,66.7,2.4,2.2,4.6,0.6,0.6,0.4,2,2.2,4
John Butler Jr.,5,17.7,5.2,1.8,5.6,32.1,1,3.4,29.4,0.6,0.8,75,0.8,1.6,2.4,1.2,0.2,1,0.6,2,2
Dariq Whitehead,4,20.8,5,1.5,10.3,14.6,0.5,6,8.3,1.5,2,75,0.5,4,4.5,1,1.5,1.3,0.8,2,-7
Gabe Kalscheur,2,12.7,5,2,5.5,36.4,0.5,3,16.7,0.5,0.5,100,0.5,0.5,1,0.5,0,1,0,2,10
Grayson Murphy,1,23.7,5,2,3,66.7,0,1,0,1,2,50,3,8,11,10,0,3,0,3,17
